id,image,question,description,error,answer
15,image/9352b373-bf66-4f1b-9bf9-ff800e1a74bd.png,米田贺在比赛中有哪些精彩扑救表现？,,图像文件不存在,米田贺先后扑出了沈愚燃的头球攻门、李东国的冷射、沈愚燃的鱼跃头球和李东国的挑射。
16,image/bcd98152-aa99-4b87-9a71-d76ec2e95c20.png,梁静产后出现健忘症状，具体表现有哪些？,,图像文件不存在,具体表现为忘记锁门、忘记车位位置、在讲电话时忘记继续通话。
17,image/625f07bd-5238-49fe-ac49-d8f2e7b9f58e.png,踩踏事故是在哪个环节发生的？,,图像文件不存在,踩踏事故发生在市民排队抢购之后，具体时间为2023年8月30日16:00，持续1小时。
18,image/0c853712-49dd-4544-888e-1a11397f8ef5.png,谁将暂代新泽西篮网主教练一职？,,图像文件不存在,汤姆-巴莱斯。
19,image/e90db4c6-ee6a-4198-8f72-c262228421ce.png,主犯为何被判处无期徒刑？,,图像文件不存在,因其在跨省多地多次实施抢劫，且犯罪时间长达14个月，情节严重。
20,image/e392b4ce-a12b-442e-84e7-3cc50cec1952.png,宋承宪的掌掴镜头拍摄何时开始？,,图像文件不存在,2023年6月16日，掌掴镜头彩排结束后立即开始，预计持续3小时。
21,image/96f21b62-3fa0-4c18-822a-43054b09d63c.png,杨可可和李开复分别代表哪方签署合作协议？,,图像文件不存在,杨可可代表中国电信，李开复代表谷歌公司。
22,image/0c853712-49dd-4544-888e-1a11397f8ef5.png,为什么新泽西篮网决定让汤姆-巴莱斯暂代主教练？,,图像文件不存在,因为新泽西篮网开局遭遇了16连败，导致主教练劳伦斯-弗兰克被解雇，由汤姆-巴莱斯接任。
23,image/c4ad61bb-313d-4f58-ae58-3f1bc33f496f.png,AMD何时计划进入平板电脑市场？,,图像文件不存在,根据甘特图，AMD计划在2011-01-01进入平板电脑市场，前提是该市场成熟。
24,image/8a012913-d02c-4c9d-8cfa-9350f043f632.png,银行为何暂停发行和审批部分理财产品？,,图像文件不存在,因银监会发布新规叫停六类违规理财产品，要求银行自查并整改，故银行暂停发行和审批疑似违规产品以符合监管要求。
25,image/d93d174b-97d9-49f0-a809-0ac3565ec172.png,王磊为何能进入国家队候选名单？,,图像文件不存在,因为他在CBA联赛表现出色，尽管有伤病困扰，但复出后状态恢复且数据表现优异。
26,image/1f274f39-0bde-47c4-a5ba-b9373769ba8e.png,东港股份的业务分析流程中，哪一项任务是最后完成的？,,图像文件不存在,投资建议与盈利预测是东港股份业务分析流程中最后完成的任务。
27,image/1b201ea8-0712-4c17-bd43-3ed9e06b87c4.png,Kaman Corp在提交了备用注册申请后，是否可以在三年内随时发行最多2亿美元的债券或股票？,,图像文件不存在,是的，根据注册文件和流程安排，Kaman Corp在提交备用注册申请并满足SEC要求后，三年内可随时进入市场发行最多2亿美元的债券或股票。
28,image/9df93049-921c-4a7d-a2bf-07bc7ad89bec.png,何超仪在2023年5月18日当天有哪些安排？,,图像文件不存在,2023年5月18日，何超仪出席了时装品牌活动，并在同一天遭遇了夜店被推开事件。
29,image/e1509180-1c32-4ead-91cf-aa72d4f1d37d.png,Bill Gross为何建议减少持有房贷债券？,,图像文件不存在,因为预测经济复苏将导致信用风险上升，高风险债券、商业地产和低评级市政债券可能受损。
30,image/d41d3a92-6fc1-4cb8-9ca1-d2342fa2165a.png,考生在公务员考试中出现违纪行为会受到什么处理？,,图像文件不存在,根据违纪严重程度，考生可能被取消本次报考资格、5年内不得报考或终身不得报考公务员，并记录至违纪信息库。
31,image/9d294426-77f2-480a-b29e-e5e8677c020c.png,央视是在哪个日期之后购买了《新流星蝴蝶剑》？,,图像文件不存在,央视在2023-06-01之后购买了《新流星蝴蝶剑》。
32,image/cf897c97-7c2c-44e6-9ce7-3d1f2b5c81e4.png,IMF为何建议日本提高销售税率至7-8%？,,图像文件不存在,可能是为了应对财政压力或促进经济稳定，但具体原因需结合政策背景分析。
33,image/bb5abc96-bf3b-4301-bd88-efa7f2b935e2.png,用户购买相机V1018后，还得到了哪些赠品？,,图像文件不存在,充电宝和2G存储卡。
34,image/0b6c7fb5-9456-474a-b80c-c7c065f2e66f.png,锦江酒店去年利润下降的主要原因是什么？,,图像文件不存在,主要由于旅游市场走低导致星级酒店客房收入下跌，进而影响整体利润。
35,image/d9528a47-500b-4ec0-96bf-2951c7eda24b.png,杨洁篪在2023年7月23日的东盟地区论坛外长会上，是否就南海问题阐述了立场？,,图像文件不存在,是的，他在当天针对南海问题进行了发言。
36,image/79362624-ca4c-406b-a69b-05fd9eaa9b05.png,任务二最早可能在哪一天完成？,,图像文件不存在,任务二最早可能在2023-01-08完成。
37,image/44930fc8-8dbc-41ac-9928-eff4cff384a1.png,四居和跃层户型的均价设定时间是否有重叠？,,图像文件不存在,是的，四居均价设定从2009-02-01持续到2009-02-10，而跃层均价设定从2009-02-10开始，两者在2月10日存在重叠。
38,image/0c853712-49dd-4544-888e-1a11397f8ef5.png,新泽西篮网在开局16连败后，谁暂代了主教练？,,图像文件不存在,汤姆-巴莱斯。
39,image/eee034b7-c8a1-4707-9801-54b72515137f.png,地震信息是如何从监测中心传递到公众的？,,图像文件不存在,监测中心检测到地震后，将信息通报给新华网，再由新华网向公众报道。
40,image/cea6f040-362f-4cce-87f3-57364592ffd5.png,在Pilanesburg野生动物园游览中，游客是否发现了所有五大神兽？,,图像文件不存在,没有发现所有五大神兽，其中狮子未被发现。
41,image/6a0585dd-acfc-492b-a3f0-6decbc099e50.png,Selina为何决定重拍婚纱照？,,图像文件不存在,因为之前拍摄的婚纱照中她的身体状态尚未完全恢复，而现在她表示身体已经恢复良好。
42,image/1b201ea8-0712-4c17-bd43-3ed9e06b87c4.png,Kaman Corp在提交备用注册申请后，为何能在有利条件下快速进入市场？,,图像文件不存在,因为备用注册机制允许公司在未来三年内根据市场需求快速发行证券，无需再次进行繁琐的注册流程。
43,image/d9528a47-500b-4ec0-96bf-2951c7eda24b.png,杨洁篪在2023年7月23日的东盟地区论坛外长会上，是否就南海问题表明了立场？,,图像文件不存在,是的，他在当天针对南海问题进行了发言。
44,image/b7209b75-077e-4a55-b9ea-ee459b590d9c.png,神舟F300T评估是在哪一天开始的？,,图像文件不存在,根据流程图，神舟F300T评估开始于2023年4月5日。
45,image/79362624-ca4c-406b-a69b-05fd9eaa9b05.png,任务二最早可能在哪一天完成？,,图像文件不存在,2023-01-08。
46,image/0b6c7fb5-9456-474a-b80c-c7c065f2e66f.png,锦江酒店去年利润下降的主要原因是什么？,,图像文件不存在,由于旅游市场走低导致星级酒店客房收入下跌，进而引起自营酒店收入减少。
47,image/dc51dbb8-d3c5-43a1-887b-a3d4e6454785.png,为何泰国总理撤回了选举提议？,,图像文件不存在,因为“红衫军”拒绝停止集会，导致原定于11月14日的选举提议被撤销。
48,image/b7209b75-077e-4a55-b9ea-ee459b590d9c.png,神舟F300T评估在哪个时间段进行？,,图像文件不存在,2023-04-05至2023-04-07。
49,image/98529065-1576-4af4-91b9-aeac6fe568d0.png,用户最终是否同意了设计师的方案？,,图像文件不存在,是的，用户同意了包含客厅、厨房、卧房、卫浴的超迷你住宅设计方案并决定实施。
50,image/67539cf8-5f18-4703-b0fd-f625b178c8a3.png,用户在什么情况下可以发表评论？,,图像文件不存在,当新闻更新后，用户可以在评论发表环节通过“我要评论”进行发言。
